product_name,price_of_the_product,properties,star_ratings,no_of_ratings,no_of_reviews
Aqua EPIC Model 12 L ALKALINE FILTER+ RO + UV + UF + ALKALINE FILTER 12 L RO + UV + UF + TDS Water Pur...,"₹5,160","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '6 Months offsite warranty on all electronic parts, installation will be provided by seller, buyer has to pay RS. 500-700 for installation, our technician will visit buyer within 24 to 48 hours for query/installation 08769114059 between 10 am to 6 pm. After installation visit will be chargeable. SUNDAY closed.']",4,225,25
Aqua Fresh Alfa Prism COPPER+RO+UV+TDS WHITE AUTOMATIC ELECTRICAL BOREWELL 1500 TDS BEST HOME WATER PU...,"₹5,499","['Electrical & Storage', 'RO + UV', '12 L Capacity', '6 MONTH OFFSITE WARRANTY ON PUMP & SMPS, INSTALLATION WILL BE PROVIDED BY SELLER, BUYER HAS TO PAY RS. 400-700 FOR INSTALLATION OUR TECHNICIAN WILL VISIT BUYER WITH IN 2 TO 4 DAYS for query/installation 8178961873 between 10 am to 6 pm. after installation every visit will be chargeable 300. SUNDAY closed.']",4.1,34,5
FABER FWP Neutron PRO RO (RO+UV+COPPER GUARD+PH ENHANCER+MINERAL FILTER) 10 L RO + UV Water Purifier,"₹9,999","['Electrical & Storage', 'RO + UV', '10 L Capacity', '12 months Warranty on Product. It includes manufacturing defects but excludes physical damage. Technician Visit, if applicable, will be charged to the customer']",4.1,277,59
KENT Ace Lite 8 L RO + UF + TDS Water Purifier,"₹12,999","['Electrical & Storage', 'RO + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"3,814",424
LIVPURE liv-pep-pro+(white) 7 L RO + UV Water Purifier,"₹8,199","['Electrical & Storage', 'RO + UV', '7 L Capacity', '1 Year Warranty']",4.3,"1,612",194
Hindware Elara Copper+ 7 L RO + UV + UF + Minerals Water Purifier with Advance Copper + Technology,"₹8,299","['Electrical & Storage', 'RO + UV + UF + Minerals', '7 L Capacity', '1 Year Manufacturer Domestic Warranty on Electrical Parts Including Membranes']",4,467,118
Aqua Fresh Epic Model 15 L RO + UV + UF + TDS Water Purifier,"₹5,159","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', '6 Months offsite warranty on all electronic parts, installation will be provided by seller.']",3.8,"6,312","1,318"
KENT Ace Star 8 L RO + UV + UF + TDS Water Purifier with Digital Display,"₹16,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.5,443,48
Pureit CLASSIC RO+MF 7 L RO + MF Water Purifier,"₹7,699","['Electrical & Storage', 'RO + MF', '7 L Capacity', 'NA']",4.4,"1,177",217
Aqua Fresh RO_UV_UF_Golden Black 12 L RO + UV + UF + TDS Water Purifier,"₹5,301","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', ""Water Purifier Warranty on MOTER/SMPS available from seller.But Installation amount will be paid by customer(installation charge is 500-700/-).If any problem occurs during warranty period Then buyer will make courier at seller or service center address after that seller will replace MOTER/SMPS (Seller will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) and every visit will be chargeable after the installation (RS300/-) All service will chargeable.""]",3.9,226,42
